plat_nomor,nomor_rangka,warna,model,tipe,tahun_dibuat,tanggal_masa_pajak,pkb,pkb_progresif,opsen_pkb,opsen_pkb_progresif,swdkllj,parkir_berlangganan,pengesahan_stnk,cetak_stnk,cetak_tnkb
AE 2697 GX,71223,Hitam,Yamaha Mio M3,F3GSJ6BW3,2010,9 November 2024,110000,0,72600,0,83000,0,0,100000,60000
N 8239 OCY,61035,Biru,Suzuki Satria F150,SF150EL6246,2020,15 Agustus 2024,95000,0,62700,0,83000,0,0,100000,60000
P 3532 WZ,88073,Hitam,Suzuki Satria F150,SF150253J2D,2023,29 Maret 2025,124000,0,81840,0,35000,0,0,100000,60000
M 6728 VWF,63207,Silver,Yamaha Freego,B7KXO9T7E,2012,20 Juli 2025,135000,0,89100,0,35000,0,0,100000,60000
W 8119 SIP,53527,Hijau,Honda Beat,JFW1S3Y70H,2011,14 Oktober 2025,150000,0,99000,0,83000,0,0,100000,60000
W 5920 RIS,51637,Abu-Abu,Honda Revo 110,HB5WKTAKP,2017,28 Februari 2025,200000,0,132000,0,35000,0,0,100000,60000
M 3780 HR,60923,Biru,Yamaha NMAX 155,SED3FB9W1Q,2021,16 November 2025,175000,0,115500,0,83000,0,0,100000,60000
P 4997 RA,77141,Orange,Kawasaki Ninja 250,EX250BI4Q2Y,2019,23 Oktober 2024,200000,0,132000,0,83000,0,0,100000,60000
M 3607 LTV,27424,Merah,Yamaha R15,B74IM6CFN,2021,10 Juli 2024,95000,0,62700,0,83000,0,0,100000,60000
P 6421 KFK,95687,Orange,Suzuki GSX-R150,GX150R7KO64,2021,25 Desember 2025,225000,0,148500,0,35000,0,0,100000,60000
M 4595 LAI,64141,Merah,Honda Beat,JFW16VXDP5,2010,26 Agustus 2024,175000,0,115500,0,83000,0,0,100000,60000
S 8449 IWH,94847,Biru,Honda Vario 125,JFH19MX2X1,2013,11 April 2026,85000,0,56100,0,35000,0,0,100000,60000
S 3068 ROF,67167,Hijau,Honda PCX 160,KF302FLU7U,2016,5 Desember 2025,124000,0,81840,0,35000,0,0,100000,60000
S 2669 WPD,97343,Kuning,Yamaha Vixion R,B4WAPRPN6,2021,8 Mei 2024,175000,0,115500,0,35000,0,0,100000,60000
AE 9817 MVP,32924,Abu-Abu,Kawasaki Ninja 250,EX250UYMRLR,2022,24 Agustus 2024,150000,0,99000,0,83000,0,0,100000,60000
AE 1166 CS,47664,Orange,Honda Beat,JFW1DHYLUR,2015,11 Februari 2025,225000,0,148500,0,83000,0,0,100000,60000
AG 8434 HFS,37961,Silver,Kawasaki KLX 150,KLX150JV1V93,2013,7 Desember 2024,110000,0,72600,0,83000,0,0,100000,60000
L 9751 HZ,56184,Kuning,Honda Beat,JFW1UQPGB7,2011,24 Maret 2026,95000,0,62700,0,83000,0,0,100000,60000
M 2213 DV,90254,Hitam,Yamaha Aerox 155,B3W1N6KVP,2019,30 Desember 2025,95000,0,62700,0,35000,0,0,100000,60000
S 5335 EE,00452,Biru,Yamaha Aerox 155,B3WKK4CIJ,2016,30 Maret 2024,225000,0,148500,0,35000,0,0,100000,60000
N 5352 BE,37521,Hijau,Yamaha R15,B74Z7SRCB,2021,29 Oktober 2024,250000,0,165000,0,83000,0,0,100000,60000
L 2496 ZV,59962,Hijau,Honda Vario 125,JFH11GSPK9,2020,16 Maret 2026,200000,0,132000,0,35000,0,0,100000,60000
M 6700 IRW,36298,Hitam,Honda Vario 125,JFH1QLL8OS,2020,12 Mei 2026,225000,0,148500,0,83000,0,0,100000,60000
P 1888 NQ,44021,Merah,Yamaha R15,B74PZE9VI,2014,20 Juni 2025,85000,0,56100,0,83000,0,0,100000,60000
W 4681 LD,84752,Merah,Kawasaki KLX 150,KLX1509ITN7S,2023,13 Februari 2024,135000,0,89100,0,83000,0,0,100000,60000
AG 9318 VHH,59415,Biru,Yamaha Freego,B7KL1N759,2019,30 Desember 2024,124000,0,81840,0,83000,0,0,100000,60000
L 6213 SVK,68940,Hijau,Yamaha Vixion R,B4W55PSQ0,2023,4 Oktober 2025,110000,0,72600,0,35000,0,0,100000,60000
M 5342 QKC,36596,Putih,Kawasaki KLX 150,KLX1505BCW79,2016,13 Maret 2024,95000,0,62700,0,83000,0,0,100000,60000
N 5906 BU,23155,Merah,Honda Revo 110,HB5GC5WI6,2013,20 Maret 2025,135000,0,89100,0,83000,0,0,100000,60000
AE 1153 XRE,43564,Abu-Abu,Yamaha Mio M3,F3GQK94DN,2019,1 Oktober 2024,135000,0,89100,0,35000,0,0,100000,60000
P 5497 OR,70649,Merah,Yamaha R15,B741I2HGJ,2020,12 Maret 2024,85000,0,56100,0,83000,0,0,100000,60000
M 1546 TCH,71159,Abu-Abu,Yamaha Mio M3,F3G3J3R30,2022,30 Maret 2024,200000,0,132000,0,35000,0,0,100000,60000
N 4696 ZUJ,70546,Orange,Yamaha Mio M3,F3GV37DIA,2015,19 Agustus 2025,124000,0,81840,0,35000,0,0,100000,60000
M 5951 DBA,91253,Hijau,Yamaha Freego,B7KY08P0F,2020,14 Maret 2024,200000,0,132000,0,83000,0,0,100000,60000
AE 1536 FLG,39396,Hitam,Honda Vario 125,JFH1OGE4QX,2010,16 Februari 2026,150000,0,99000,0,35000,0,0,100000,60000
N 4362 VO,58277,Hitam,Honda Beat,JFW1J99T2D,2012,19 Desember 2023,150000,0,99000,0,35000,0,0,100000,60000
AG 1258 GD,41043,Silver,Honda PCX 160,KF30QHW06X,2017,22 September 2025,85000,0,56100,0,35000,0,0,100000,60000
M 7580 RMX,00602,Putih,Yamaha Vixion R,B4WNVKSP2,2023,4 Oktober 2025,225000,0,148500,0,35000,0,0,100000,60000
P 8398 KV,37332,Abu-Abu,Honda CB150R,CB150RYRDDP0,2022,15 April 2024,225000,0,148500,0,35000,0,0,100000,60000
AG 3002 JRT,87963,Silver,Yamaha NMAX 155,SED3FR4MUE,2019,22 Juli 2024,175000,0,115500,0,35000,0,0,100000,60000
AE 1474 HT,93116,Abu-Abu,Honda Scoopy,JFB1FWB0HP,2012,16 Desember 2024,135000,0,89100,0,83000,0,0,100000,60000
W 1861 EQ,62644,Orange,Yamaha Mio M3,F3GHSMDYV,2020,14 Oktober 2024,85000,0,56100,0,35000,0,0,100000,60000
P 1897 FY,77214,Putih,Suzuki Satria F150,SF150GNZS43,2016,4 Mei 2026,85000,0,56100,0,83000,0,0,100000,60000
L 8532 WO,57410,Putih,Yamaha Vixion R,B4WG8QYNP,2013,22 Februari 2025,250000,0,165000,0,83000,0,0,100000,60000
W 7484 TFU,06517,Merah,Yamaha Freego,B7K033IFH,2022,19 Januari 2026,95000,0,62700,0,35000,0,0,100000,60000
M 8601 RWQ,93934,Kuning,Kawasaki KLX 150,KLX150PKJCSL,2010,31 Januari 2024,150000,0,99000,0,83000,0,0,100000,60000
W 2479 MOU,84863,Putih,Kawasaki KLX 150,KLX150S8Q349,2018,25 September 2025,110000,0,72600,0,35000,0,0,100000,60000
S 8172 NPJ,93760,Merah,Yamaha Vixion R,B4WCDYK0X,2015,25 Februari 2024,250000,0,165000,0,35000,0,0,100000,60000
AG 6082 DSC,56317,Kuning,Honda Scoopy,JFB1XPNNGH,2013,22 Juli 2024,110000,0,72600,0,35000,0,0,100000,60000
W 5846 NO,75686,Hitam,Suzuki GSX-R150,GX150FGYW6Z,2016,11 Desember 2024,124000,0,81840,0,83000,0,0,100000,60000
AE 8355 NI,84839,Merah,Kawasaki Ninja 250,EX250QKNS83,2023,16 Agustus 2024,85000,0,56100,0,83000,0,0,100000,60000
AG 2680 HT,29149,Hijau,Yamaha Aerox 155,B3W357OON,2011,21 Desember 2024,124000,0,81840,0,35000,0,0,100000,60000
AG 2623 UDH,86174,Hijau,Honda Beat,JFW16AHF7V,2011,5 Februari 2026,135000,0,89100,0,35000,0,0,100000,60000
AE 2996 GQ,60845,Putih,Yamaha Aerox 155,B3WZKAMUG,2018,7 Desember 2024,95000,0,62700,0,35000,0,0,100000,60000
P 8702 QZ,20737,Merah,Honda PCX 160,KF3010LBT3,2023,8 Februari 2026,200000,0,132000,0,83000,0,0,100000,60000
N 3209 SY,02783,Abu-Abu,Yamaha R15,B74S9TJ1G,2023,10 Februari 2026,85000,0,56100,0,83000,0,0,100000,60000
AE 3039 LKL,93163,Abu-Abu,Yamaha Mio M3,F3G20CV3T,2011,23 Februari 2024,150000,0,99000,0,83000,0,0,100000,60000
AE 8305 ELL,79646,Merah,Honda Vario 125,JFH1CWN2Y8,2023,17 Agustus 2025,200000,0,132000,0,35000,0,0,100000,60000
N 2101 UJ,35669,Putih,Yamaha Freego,B7KPCENLK,2010,26 Desember 2025,110000,0,72600,0,83000,0,0,100000,60000
P 2929 USF,66921,Abu-Abu,Honda Scoopy,JFB1Q6QDY4,2020,23 November 2024,95000,0,62700,0,83000,0,0,100000,60000
AE 3580 UN,12170,Kuning,Yamaha Freego,B7KQ9E5CO,2018,27 Januari 2025,175000,0,115500,0,35000,0,0,100000,60000
N 6194 LR,38761,Abu-Abu,Honda CB150R,CB150RP6BEFF,2024,29 November 2025,124000,0,81840,0,83000,0,0,100000,60000
AE 2292 FYH,66065,Hitam,Honda CB150R,CB150RGW6M7B,2011,19 Januari 2024,250000,0,165000,0,83000,0,0,100000,60000
S 7825 MQ,29486,Merah,Yamaha R15,B74QYFOQM,2015,4 Mei 2026,150000,0,99000,0,83000,0,0,100000,60000
P 3142 NCG,14109,Merah,Suzuki Satria F150,SF150I5FLUL,2017,14 Mei 2025,200000,0,132000,0,83000,0,0,100000,60000
AE 9148 CK,42502,Hijau,Kawasaki KLX 150,KLX150KADEJN,2015,19 Januari 2024,175000,0,115500,0,35000,0,0,100000,60000
S 6939 BNT,29619,Hijau,Suzuki GSX-R150,GX150N9UNFV,2018,14 Januari 2024,85000,0,56100,0,35000,0,0,100000,60000
N 6456 NDX,19336,Hitam,Yamaha R15,B74VSSRUR,2015,7 November 2024,95000,0,62700,0,83000,0,0,100000,60000
AE 1436 GRZ,52045,Abu-Abu,Suzuki GSX-R150,GX150FYB8DA,2016,7 Mei 2024,175000,0,115500,0,35000,0,0,100000,60000
P 9221 WTB,12365,Silver,Yamaha Vixion R,B4W8QTTY5,2019,12 April 2025,124000,0,81840,0,35000,0,0,100000,60000
AE 5890 YZ,77644,Merah,Yamaha Mio M3,F3GKUT6OM,2014,16 Januari 2024,135000,0,89100,0,35000,0,0,100000,60000
AG 8247 TFV,25217,Kuning,Yamaha Aerox 155,B3WIYTWBO,2011,31 Oktober 2025,110000,0,72600,0,35000,0,0,100000,60000
N 7666 MFZ,36905,Hijau,Honda Vario 125,JFH16G5G79,2022,24 April 2025,110000,0,72600,0,83000,0,0,100000,60000
L 1151 OCZ,29549,Hitam,Kawasaki Ninja 250,EX250J3L0XZ,2021,13 November 2024,135000,0,89100,0,35000,0,0,100000,60000
N 7643 NCR,11322,Abu-Abu,Yamaha Aerox 155,B3WQJLUUJ,2021,1 Agustus 2024,85000,0,56100,0,35000,0,0,100000,60000
M 6026 KN,87319,Abu-Abu,Yamaha R15,B74NH8RQ9,2016,21 November 2025,225000,0,148500,0,83000,0,0,100000,60000
S 5054 NN,39189,Kuning,Yamaha NMAX 155,SED3UFLSEH,2011,9 Mei 2025,200000,0,132000,0,35000,0,0,100000,60000
M 3161 LBM,87387,Kuning,Honda Scoopy,JFB1BMC97C,2010,22 September 2024,175000,0,115500,0,35000,0,0,100000,60000
N 7887 ZJW,93665,Hitam,Yamaha Freego,B7KE9OE94,2014,22 Maret 2025,225000,0,148500,0,83000,0,0,100000,60000
P 4762 LE,18706,Biru,Honda Beat,JFW1ICVQY5,2021,18 Januari 2024,175000,0,115500,0,83000,0,0,100000,60000
S 9843 TU,19295,Orange,Yamaha Vixion R,B4WI59SOJ,2019,22 Mei 2026,110000,0,72600,0,83000,0,0,100000,60000
M 1768 YRU,34137,Hijau,Kawasaki KLX 150,KLX150II4FQC,2016,26 Juni 2025,225000,0,148500,0,35000,0,0,100000,60000
P 4978 FQX,80712,Abu-Abu,Honda Vario 125,JFH15G10UR,2014,19 Desember 2023,124000,0,81840,0,35000,0,0,100000,60000
W 8846 SS,32324,Abu-Abu,Yamaha Freego,B7KLM5Q20,2024,29 Juni 2024,150000,0,99000,0,83000,0,0,100000,60000
P 1749 TA,55721,Kuning,Yamaha Aerox 155,B3WN4RXYJ,2021,21 September 2025,200000,0,132000,0,83000,0,0,100000,60000
N 6770 DO,18995,Merah,Honda Scoopy,JFB18Y1O4I,2010,14 Juli 2024,225000,0,148500,0,83000,0,0,100000,60000
AG 1990 RAN,40752,Orange,Suzuki Satria F150,SF15036DDFG,2014,17 Maret 2026,150000,0,99000,0,83000,0,0,100000,60000
P 2294 YLG,62809,Kuning,Honda Vario 125,JFH1DNTCAG,2023,20 Februari 2025,150000,0,99000,0,35000,0,0,100000,60000
L 4764 XR,52962,Hijau,Honda Vario 125,JFH1G4AHF3,2024,20 Februari 2024,135000,0,89100,0,35000,0,0,100000,60000
S 7375 JTU,60730,Hitam,Yamaha Aerox 155,B3W4M18O1,2020,8 September 2024,200000,0,132000,0,83000,0,0,100000,60000
S 6829 LRR,06770,Silver,Honda CB150R,CB150RN2FOMD,2017,6 Desember 2024,135000,0,89100,0,35000,0,0,100000,60000
N 2430 LO,51055,Biru,Yamaha Vixion R,B4W5AO20U,2019,20 Mei 2025,110000,0,72600,0,83000,0,0,100000,60000
N 3274 HMB,44402,Hijau,Yamaha Aerox 155,B3WZRWQEA,2015,13 April 2026,250000,0,165000,0,83000,0,0,100000,60000
AG 8212 LVQ,53664,Biru,Honda Revo 110,HB588KZRU,2015,23 Desember 2024,135000,0,89100,0,83000,0,0,100000,60000
AG 2865 PO,65947,Merah,Kawasaki Ninja 250,EX25023C42Y,2020,9 Oktober 2024,124000,0,81840,0,83000,0,0,100000,60000
N 7932 BZM,45965,Abu-Abu,Yamaha Freego,B7KZ3V6DI,2012,26 September 2025,250000,0,165000,0,35000,0,0,100000,60000
P 6432 CCF,75623,Hijau,Kawasaki Ninja 250,EX2501VSMAD,2024,29 Februari 2024,95000,0,62700,0,35000,0,0,100000,60000
AG 6110 LFM,44633,Orange,Honda PCX 160,KF30AMD270,2012,21 Juni 2025,110000,0,72600,0,83000,0,0,100000,60000
P 8570 UQ,16378,Putih,Kawasaki Ninja 250,EX250VNZH13,2019,17 Maret 2024,225000,0,148500,0,35000,0,0,100000,60000
AG 6340 LG,85656,Putih,Honda PCX 160,KF30M4W3ZK,2020,19 April 2024,150000,0,99000,0,35000,0,0,100000,60000
S 6003 ES,54131,Abu-Abu,Honda Revo 110,HB5TRFLQB,2010,13 April 2025,110000,0,72600,0,35000,0,0,100000,60000
P 9281 KMS,41572,Orange,Honda Vario 125,JFH1JTGQ01,2018,28 Maret 2024,250000,0,165000,0,35000,0,0,100000,60000
AE 9898 OTT,42476,Putih,Yamaha Aerox 155,B3WK9QM3P,2022,14 Maret 2026,124000,0,81840,0,35000,0,0,100000,60000
AG 8015 QU,88555,Putih,Honda Revo 110,HB5LZKJ49,2012,10 Januari 2026,175000,0,115500,0,35000,0,0,100000,60000
AE 3078 GS,87645,Silver,Yamaha Mio M3,F3GWNC21O,2021,20 Mei 2026,150000,0,99000,0,83000,0,0,100000,60000
M 6362 WW,09668,Merah,Suzuki GSX-R150,GX150HPHJ3M,2019,24 April 2026,200000,0,132000,0,83000,0,0,100000,60000
L 1752 QV,09149,Silver,Suzuki Satria F150,SF150HYEXF7,2011,4 Oktober 2025,150000,0,99000,0,83000,0,0,100000,60000
W 7092 BQ,77400,Putih,Yamaha NMAX 155,SED3REIYAZ,2023,8 Februari 2025,110000,0,72600,0,83000,0,0,100000,60000
W 4751 CUC,32388,Merah,Honda CB150R,CB150RCUVFMH,2024,28 Januari 2025,250000,0,165000,0,83000,0,0,100000,60000
S 2420 DD,73472,Silver,Honda Scoopy,JFB1IVZK7A,2013,17 Mei 2025,250000,0,165000,0,35000,0,0,100000,60000
P 5842 UU,23260,Merah,Honda Beat,JFW197E4UN,2022,30 Maret 2025,95000,0,62700,0,35000,0,0,100000,60000
W 1225 FXY,32774,Biru,Suzuki GSX-R150,GX150CTWJLS,2022,11 Mei 2024,225000,0,148500,0,83000,0,0,100000,60000
P 2083 SSW,00446,Kuning,Yamaha R15,B74XXGAEA,2015,22 Mei 2025,225000,0,148500,0,83000,0,0,100000,60000
N 7092 TW,71834,Merah,Honda Scoopy,JFB1J9WRSB,2015,13 Mei 2024,135000,0,89100,0,35000,0,0,100000,60000
W 4742 BW,24319,Abu-Abu,Honda Vario 125,JFH1T60PLO,2014,28 Maret 2026,95000,0,62700,0,83000,0,0,100000,60000
W 9225 EU,99042,Biru,Yamaha R15,B74LTAHUK,2017,15 Desember 2024,250000,0,165000,0,83000,0,0,100000,60000
S 9954 DY,05660,Biru,Yamaha Vixion R,B4WAX40DT,2016,20 April 2025,85000,0,56100,0,35000,0,0,100000,60000
AE 2524 XX,57390,Merah,Honda PCX 160,KF30SWOVCX,2013,27 September 2024,135000,0,89100,0,83000,0,0,100000,60000
P 6345 LGY,17114,Putih,Yamaha Vixion R,B4WOT8HLJ,2011,13 Mei 2024,135000,0,89100,0,35000,0,0,100000,60000
S 6370 CG,35629,Merah,Honda Beat,JFW184UTDD,2011,16 Desember 2023,85000,0,56100,0,35000,0,0,100000,60000
N 4246 JQQ,52800,Hitam,Kawasaki Ninja 250,EX2503D43E7,2012,13 Juli 2025,175000,0,115500,0,83000,0,0,100000,60000
M 1483 REF,12806,Hijau,Yamaha Aerox 155,B3WXR5RDN,2013,22 September 2025,225000,0,148500,0,35000,0,0,100000,60000
L 7266 MUI,53205,Biru,Honda Beat,JFW162C9T1,2012,15 Maret 2024,124000,0,81840,0,35000,0,0,100000,60000
AE 9743 TY,59399,Abu-Abu,Honda Revo 110,HB5GV3Z6B,2019,3 Juli 2025,110000,0,72600,0,35000,0,0,100000,60000
M 9882 EAB,60436,Merah,Honda CB150R,CB150RMG25CF,2022,26 Maret 2024,225000,0,148500,0,83000,0,0,100000,60000
W 7120 PII,97464,Merah,Yamaha Vixion R,B4WG8Y72I,2016,13 Oktober 2024,135000,0,89100,0,35000,0,0,100000,60000
N 1029 WUO,13866,Putih,Honda PCX 160,KF307F0I9G,2023,28 November 2025,150000,0,99000,0,83000,0,0,100000,60000
L 5345 GB,21037,Biru,Honda Revo 110,HB55RNTDR,2012,10 Maret 2025,95000,0,62700,0,35000,0,0,100000,60000
AE 1328 GCI,81099,Hijau,Yamaha Vixion R,B4WVWRB7F,2012,27 Januari 2024,95000,0,62700,0,83000,0,0,100000,60000
S 4112 SSS,22205,Biru,Kawasaki KLX 150,KLX150FMPKXV,2011,30 Desember 2023,124000,0,81840,0,35000,0,0,100000,60000
AE 2342 VIK,46051,Hitam,Suzuki GSX-R150,GX150NQJQIJ,2012,12 Januari 2026,95000,0,62700,0,35000,0,0,100000,60000
AG 9871 ZPO,88458,Orange,Kawasaki KLX 150,KLX150UIKO4B,2022,11 Juli 2025,250000,0,165000,0,35000,0,0,100000,60000
W 8357 YE,21006,Putih,Yamaha NMAX 155,SED39W4J66,2011,4 Januari 2025,225000,0,148500,0,83000,0,0,100000,60000
AG 5525 XAS,57115,Hijau,Honda PCX 160,KF307UDKTM,2014,30 Desember 2024,200000,0,132000,0,83000,0,0,100000,60000
L 3821 KQR,43860,Kuning,Kawasaki KLX 150,KLX15076A3KK,2023,15 November 2025,95000,0,62700,0,35000,0,0,100000,60000
N 5923 UIS,60494,Orange,Kawasaki KLX 150,KLX150153SFL,2016,20 April 2024,225000,0,148500,0,35000,0,0,100000,60000
N 4158 VG,49728,Kuning,Suzuki GSX-R150,GX150WEBNVG,2019,20 Juni 2025,150000,0,99000,0,83000,0,0,100000,60000
N 5237 HK,15986,Merah,Yamaha NMAX 155,SED3JOA21A,2020,29 Mei 2024,250000,0,165000,0,35000,0,0,100000,60000
S 5135 SSH,88423,Silver,Suzuki GSX-R150,GX150VA984U,2014,3 November 2025,95000,0,62700,0,83000,0,0,100000,60000
W 6509 QWG,78217,Kuning,Honda Vario 125,JFH122VXYZ,2014,25 Agustus 2024,175000,0,115500,0,83000,0,0,100000,60000
P 1578 IS,66493,Silver,Yamaha R15,B74445GDE,2021,10 Maret 2026,225000,0,148500,0,35000,0,0,100000,60000
AG 2463 JT,37322,Orange,Honda PCX 160,KF30Q5V7C6,2011,10 Mei 2026,175000,0,115500,0,83000,0,0,100000,60000
P 1885 DF,45943,Silver,Honda Revo 110,HB52RWGWA,2013,21 Januari 2026,110000,0,72600,0,35000,0,0,100000,60000
M 2442 PQ,49301,Biru,Yamaha Freego,B7K861TAA,2013,13 November 2025,150000,0,99000,0,83000,0,0,100000,60000
N 2682 NHB,09455,Hijau,Suzuki Satria F150,SF15059M6MG,2010,24 Juli 2024,124000,0,81840,0,35000,0,0,100000,60000
S 1359 DS,73676,Orange,Honda Vario 125,JFH1XXAYPN,2014,2 April 2025,110000,0,72600,0,35000,0,0,100000,60000
L 5933 RRH,61817,Biru,Honda PCX 160,KF30K2RV23,2015,23 November 2025,175000,0,115500,0,83000,0,0,100000,60000
N 1645 XRM,20015,Biru,Kawasaki KLX 150,KLX150FDS0DJ,2017,2 Oktober 2024,135000,0,89100,0,83000,0,0,100000,60000
L 2635 WW,36418,Silver,Honda Vario 125,JFH1AEXL68,2024,23 Desember 2025,95000,0,62700,0,83000,0,0,100000,60000
AG 3996 KZ,23876,Kuning,Honda Revo 110,HB5EZC7FO,2022,8 Juli 2025,200000,0,132000,0,35000,0,0,100000,60000
P 6875 WW,78448,Biru,Kawasaki Ninja 250,EX250BJLZY1,2020,16 Mei 2026,150000,0,99000,0,35000,0,0,100000,60000
P 5072 IRK,85906,Abu-Abu,Honda Revo 110,HB5SQRF1L,2014,24 Januari 2024,225000,0,148500,0,35000,0,0,100000,60000
P 7607 CL,50439,Silver,Honda Beat,JFW1DOUADV,2024,7 Mei 2025,225000,0,148500,0,35000,0,0,100000,60000
M 6584 VVV,37573,Silver,Kawasaki Ninja 250,EX250E1HM38,2018,21 Mei 2025,150000,0,99000,0,35000,0,0,100000,60000
L 3689 DSS,16193,Putih,Kawasaki Ninja 250,EX2503GM1BW,2022,9 Maret 2025,200000,0,132000,0,35000,0,0,100000,60000
M 1071 OL,59796,Hijau,Honda Revo 110,HB50ENV5S,2016,18 Agustus 2025,124000,0,81840,0,83000,0,0,100000,60000
P 6617 LDK,77278,Merah,Yamaha NMAX 155,SED3HWKMY9,2018,11 Juni 2025,150000,0,99000,0,35000,0,0,100000,60000
AG 8870 RXN,84013,Hitam,Honda Vario 125,JFH1YH1FKJ,2021,14 Februari 2026,135000,0,89100,0,35000,0,0,100000,60000
L 6876 CWT,87527,Orange,Yamaha R15,B74YBNO2Y,2010,17 Desember 2023,135000,0,89100,0,35000,0,0,100000,60000
M 4695 TOP,79216,Merah,Honda Revo 110,HB580EBKJ,2019,18 April 2026,135000,0,89100,0,35000,0,0,100000,60000
AG 8640 BY,57683,Merah,Yamaha Freego,B7KCZS8S2,2016,12 Juni 2025,225000,0,148500,0,83000,0,0,100000,60000
W 6724 WR,32964,Hitam,Honda Beat,JFW1EMIX7I,2020,28 Mei 2026,150000,0,99000,0,83000,0,0,100000,60000
W 7322 OHX,83840,Putih,Yamaha NMAX 155,SED3LCD81T,2013,20 Oktober 2025,124000,0,81840,0,83000,0,0,100000,60000
W 4368 QYT,14300,Hijau,Yamaha Mio M3,F3GUUIJNW,2015,21 Desember 2023,175000,0,115500,0,35000,0,0,100000,60000
L 2036 SB,91730,Orange,Kawasaki Ninja 250,EX250N3BFH0,2014,13 September 2025,110000,0,72600,0,83000,0,0,100000,60000
AG 1182 DA,55937,Silver,Yamaha Freego,B7KH64FGW,2013,30 Maret 2024,110000,0,72600,0,35000,0,0,100000,60000
M 2198 RGF,59362,Merah,Yamaha R15,B74W6LQWL,2019,6 Juli 2025,150000,0,99000,0,83000,0,0,100000,60000
P 3762 IU,76236,Putih,Yamaha Vixion R,B4W5QMKTG,2023,16 September 2024,110000,0,72600,0,35000,0,0,100000,60000
AE 2252 XW,68572,Biru,Honda Vario 125,JFH1TT9Q1N,2024,1 Februari 2026,250000,0,165000,0,83000,0,0,100000,60000
N 8613 KN,68861,Kuning,Honda CB150R,CB150RQG8X80,2015,14 Januari 2024,124000,0,81840,0,83000,0,0,100000,60000
S 2029 JBF,93440,Merah,Yamaha Vixion R,B4WD8WJ0U,2016,3 Oktober 2025,175000,0,115500,0,83000,0,0,100000,60000
W 9465 JXN,38446,Putih,Honda CB150R,CB150RPISKFF,2020,26 Juli 2024,175000,0,115500,0,83000,0,0,100000,60000
W 8889 MPQ,42151,Hitam,Honda Vario 125,JFH16FF7SO,2024,9 Desember 2025,135000,0,89100,0,35000,0,0,100000,60000
S 8359 WEV,67816,Merah,Yamaha Mio M3,F3GGY7VCN,2011,20 Desember 2023,124000,0,81840,0,83000,0,0,100000,60000
N 2577 MP,07514,Hijau,Honda CB150R,CB150R6TA7YP,2015,17 Mei 2026,85000,0,56100,0,83000,0,0,100000,60000
S 8899 JUX,85427,Orange,Honda Scoopy,JFB1K5OGZ2,2011,19 Mei 2025,85000,0,56100,0,83000,0,0,100000,60000
S 6175 JEQ,28432,Silver,Suzuki GSX-R150,GX1501O2RNT,2014,17 Juli 2025,150000,0,99000,0,83000,0,0,100000,60000
N 2951 LS,12435,Hijau,Honda Vario 125,JFH1F8ADF7,2011,7 Februari 2024,135000,0,89100,0,35000,0,0,100000,60000
AG 2311 SY,46290,Hitam,Honda Revo 110,HB5XPHX2K,2022,8 Agustus 2025,225000,0,148500,0,35000,0,0,100000,60000
